Name,Price,Weight/Volume(ml/g),Protein per 100g,Source of Price,Carbon Footprint (g),Source of Footprint,Notes
Tesco Mango 250G,2,250,0.7,https://www.tesco.com/groceries/en-GB/products/302987699,100,".4556 kg of CO2e per kg of mango

0.4 kg CO2e : 1 kg mango
400 : 1,000
1000g mango  : 400g co2e
5 : 2
5 / 5 : 2 / 5 = 1 : 0.4
1g mango : 0.4 co2e
1 * 250 : 0.4 * 250 = 250 : 100
100g co2e

OG CALS
0.4kg CO2e = 1kg mango 

0.4:1
250g mango  / 0.4 carbon = 635g carbon

https://www.mango.org/wp-content/uploads/2017/10/Sustainability_Exec_Summary_Eng.pdf",
Tesco Pure Sunflower Oil 3L,3,3000,0,https://www.tesco.com/groceries/en-GB/products/254918234,9900,"3.3 kg co2e : 1 kg oil 
1000ml : 3300g co2e
10 : 33
10/10 : 33/10 = 1 : 3.3
1g oil : 3.3g co2e
1 * 3000 : 3.3 * 3000 = 3000 : 9,900

9,900g co2e

OG CALS
3.3 kg CO2e to produce 1 kilogram
1kg = 1L

1/3.3
3 * 3.33 = 9.99 kg

https://www.thelifeimpact.com/s-ingredients/sunflower-oil",
Lurpak Slightly Salted Spreadable 500G,3.75,500,0.5,https://www.tesco.com/groceries/en-GB/products/253886894,4750,"GHG footprint (kg CO2e/500g***): 4.75



http://www.garethhuwdavies.com/business-2/butter-margarine-spread-breakfasts-carbon-footprint/

https://www.flora.com/en-gb/flora/healthy-living/sustainability/how-going-dairy-free-can-reduce-your-carbon-footprint",
Tesco Large Free Range Eggs 6 Pack,1.1,378,12.6,https://www.tesco.com/groceries/en-GB/products/250802567,1894.5,"4.21 kg co2e per 100g protien
100 : 4210
10 : 421
10/10 : 421/10 = 1 : 42.1
1 serving = 7.5g protien
7.5g *  6 servings = 45g
1 * 45 : 42.1 * 45 = 45 : 1,894.5

1,894.5 g co2e 

OG CALS
4.21 kg co2e per 100g protien

7.5 * 6 = 45g protirn

4.21kg/100g 

4.21 kg co2e / 45g protin = 10.6 co2e


https://ourworldindata.org/environmental-impacts-of-food#carbon-footprint-of-food-products","63g-73g for 1 large egg

63 * 6 = 378"
"Tesco British Whole Milk 2.272L, 4 Pints",1.09,2270,3.5,https://www.tesco.com/groceries/en-GB/products/254656399,7544.4,"100 : 9500
1 : 95
2272ml / 100ml = 22.72ml
22.72*3.5= 79.52g protien
1 * 79.52 : 95 * 79.52 = 79.52 : 7,544.4

7,544.4g co2e

OG CALS
9.50 kg co2e per 100g protien

2272 ml 
3.5g per 100ml

2272ml / 100ml = 22.72ml
22.72*3.5= 79.52g protien

1/95 
1 + 95 = 96

96 * 79.52 = 7,633.9g == 7.6339kg
7.6 kg co2e


100g/ 9.50kg",
Tesco Lightly Dusted Haddock Fillets 255G,3.5,255,15.3,https://www.tesco.com/groceries/en-GB/products/289553663,2297.1,"https://ourworldindata.org/grapher/ghg-per-protein-poore
fish(farmed): 5.98 kg per 100g protien

100 : 5890
10 : 589
10/10 : 589/10 = 1 : 58.9

15.3g protein : 100g content
100g content : 15.3g protein
100/100 : 15.3/100 = 1 : 0.153
1 * 255 : 0.153 * 255 = 255 : 39.0
39 grams of protein 

1 * 39 : 58.9 * 39 = 39 : 2,297.1

2,297.1 co2e

OG STATS
fish(farmed): 5.98 kg per 100g protien

15.3g per 100g protein

255g / 100g =2.5
15.3*2.5 = 38.25 grams protien

100:5980 > 5:299

38.2 / 5 = 7.64
299 * 7.64 = 2,284.3




",
Tesco 2 British Chicken Breast Fillets 300G,1.8,300,24,https://www.tesco.com/groceries/en-GB/products/285210252,4104,"Poultry Meat 5.70 kg per 100g protion

5700:100
100:5700
1 : 57 1g protien per 57g Co2e 

24.0g * 3 = 72g of protien

1 * 72g : 57g * 72g =
72g : 4,104g
72 protien to 4104g of Co2e






",
Tesco Beef Stir Fry Strips 357G,3,357,21.6,https://www.tesco.com/groceries/en-GB/products/292310169,3547.1,"beef 49.89 kg  co2e per 100g protien

21.6g protein per 100g

100g protein : 4989 co2e
100/100 : 4989/100 = 1 : 49.89

100g contents : 21.6g protein
100/100 : 21.6g /100 = 1 : 0.216
1 * 357 : 0.216 * 357 = 357 : 77.1
77.1g protein

1 * 77.1 : 49.89 * 77.1 = 77.1 : 3,547.1

3,547.179 co2e


",
Tesco Variety Pack Biscuits 700G,1,700,5.6,https://www.tesco.com/groceries/en-GB/products/301689876,,"https://www.sciencedirect.com/science/article/pii/S0959652619316154#appsec1

1.81 kg CO2 eq./kg) is found for chocolate-coated biscuits
1kg : 1.81kg
1000g : 1810g
100g : 181g
1g: 1.81g
1.81 * 350 = 633.5g co2e
vanilla cream biscuit 1.36 kg CO2 eq./kg


",
Mcvities Rich Tea Twin Pack 2 X 300G,1.99,600,7,https://www.tesco.com/groceries/en-GB/products/255352138,768,"https://www.sciencedirect.com/science/article/pii/S0959652619316154#appsec1

SSB: semi-sweet biscuit 1.28 co2e kg/ kg bisit

1 : 1.28
1000 : 1280
25 : 32
25/25 : 32/25 = 1g :  1.28g
1 * 600 : 1.28 * 600  = 600 : 768
768g co2e",
Hovis Soft White Medium Bread 800G,0.99,800,8.7,https://www.tesco.com/groceries/en-GB/products/256174499,977,"977 to 1,244 g CO2 eq. per loaf of bread

https://link.springer.com/article/10.1007/s11367-011-0271-0",
Laila Basmati Rice 10Kg,14.5,10000,8,https://www.tesco.com/groceries/en-GB/products/256171675,125000,"6.27 kg per 100g protein
100 : 6270
10 : 627
10/10 : 627/10 = 1 : 62.7
8 * 10,000 = 80,000
1 * 80,000 :  80,000 * 62.7
5,016,000 co2e of 10kg rice
5,016,000 / 10,000 = 501.6 1kg rice

REPLACE WITH SMALLER RICE ITEM


8g per 100g
8 : 100
2 : 25
1 : 12.5

10,000 : 125,000


8 * 10,000 = 80,000

",
Tilda Basmati Rice 1Kg,4.75,1000,7.8,https://www.tesco.com/groceries/en-GB/products/256502509,4890.6,"6.27 kg per 100g protein
100 : 6270
10 : 627
10/10 : 627/10 = 1 : 62.7

7.8 per 100g protien
7.8 * 10 = 78g in 1kg

1 * 78 : 62.7 * 78 = 78 : 4,890.6

4,890.6 co2e
",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
